Pattern Name,Platform,Category,Keywords,Use Case,Components,Implementation Notes,Accessibility,Reference URL
Swipe to Delete,All,Interaction,"swipe dismiss delete gesture remove",Item removal,SwipeToDismiss|swipeActions|Dismissible,Require confirmation for destructive,Swipe action labeled,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#SwipeToDismissBox
Drag and Drop,All,Interaction,"drag drop reorder sort items",Reordering,DragAndDrop|draggable|Reorderable,Show visual feedback during drag,Drag handle accessible,https://developer.android.com/develop/ui/compose/touch-input/user-interactions
Long Press Menu,All,Interaction,"long press context menu haptic",Context actions,combinedClickable|contextMenu|GestureDetector,Trigger haptic feedback,Alternative accessible trigger,
Pinch to Zoom,All,Interaction,"pinch zoom gesture scale image",Image zoom,transformable|MagnifyGesture|InteractiveViewer,Double-tap to zoom alternative,Zoom level announced,
Edge-to-Edge,Android,Layout,edge-to-edge inset status bar navigation bar transparent,Full-screen immersive UI,enableEdgeToEdge()|WindowInsets|Modifier.systemBarsPadding,Required in Android 15+; handle insets with Modifier.systemBarsPadding,Content not behind system UI,https://developer.android.com/develop/ui/views/layout/edge-to-edge
Predictive Back,Android,Navigation,predictive back gesture animation android 14 15 cross-activity,Smooth back navigation with preview,PredictiveBackHandler|enableEdgeToEdge|SharedTransition,Android 14+; shows previous screen preview during back gesture,Back gesture announced,https://developer.android.com/guide/navigation/custom-back/predictive-back-gesture
Top App Bar Variants,Android,Navigation,topappbar small medium large center material3,App bar styles,TopAppBar|MediumTopAppBar|LargeTopAppBar|CenterAlignedTopAppBar,Choose based on content; LargeTopAppBar for scrollable content,Title and actions labeled,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#TopAppBar
Navigation Rail,Android,Navigation,navigation rail tablet desktop large screen side,Side navigation for large screens,NavigationRail|WindowSizeClass,Use NavigationRail for medium+ width; NavigationBar for compact,Rail items labeled,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#NavigationRail
Compose Animation,Android,Animation,compose animation animate content size visibility transition,Smooth state transitions,AnimatedVisibility|animateContentSize|Crossfade|AnimatedContent,Use AnimatedContent for state changes; animateContentSize for layout,Motion reduced respected,https://developer.android.com/develop/ui/compose/animation/introduction
Material 3 Dynamic Color,Android,Theme,material3 dynamic color monet wallpaper theme,Device-personalized colors,dynamicLightColorScheme|dynamicDarkColorScheme|MaterialTheme,Fallback to static scheme on API < 31; test both dynamic and static,Contrast maintained,https://developer.android.com/develop/ui/compose/designsystems/material3#dynamic-color
Adaptive Layout,Android,Layout,adaptive layout windowsizeclass compact medium expanded foldable,Responsive layouts for all screens,WindowSizeClass|calculateWindowSizeClass|NavigationSuiteScaffold,Compact=phone Medium=foldable/tablet Expanded=desktop,Content readable at all sizes,https://developer.android.com/develop/ui/compose/layouts/adaptive
Compose Shared Element,Android,Animation,shared element transition compose navigation hero,Shared element transitions between screens,SharedTransitionLayout|sharedElement|AnimatedVisibility,Use with Navigation Compose for hero animations between routes,Motion reduced respected,https://developer.android.com/develop/ui/compose/animation/shared-elements
Search Anchor,Android,Input,search anchor compose expandable suggestion material3,Expandable search bar with suggestions,SearchBar|DockedSearchBar|SearchBarDefaults,Material 3 search pattern; show recent and suggestion chips,Search announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#SearchBar
SwiftUI NavigationSplitView,iOS,Navigation,navigationsplitview sidebar detail ipad mac catalyst,Multi-column navigation for iPad,NavigationSplitView|sidebar|content|detail,Use for iPad and Mac Catalyst; adapts to compact on iPhone,Column navigation announced,https://developer.apple.com/documentation/swiftui/navigationsplitview
SwiftUI ScrollView Enhancements,iOS,List,scrollview scroll position content margins ios17,Enhanced scrolling with content margins and scroll position,ScrollView|scrollPosition|contentMargins|scrollTargetBehavior,iOS 17+; programmatic scroll position; paging behavior,Scroll position announced,https://developer.apple.com/documentation/swiftui/scrollview
SwiftUI Animation,iOS,Animation,swiftui animation withanimation spring phase keyframe,Declarative animations,withAnimation|PhaseAnimator|KeyframeAnimator|SpringAnimation,Use PhaseAnimator for multi-step; KeyframeAnimator for complex,Reduce motion respected,https://developer.apple.com/documentation/swiftui/animation
Flutter Sliver AppBar,Flutter,Navigation,sliver appbar collapsing flexible scroll custom,Flexible collapsing header,SliverAppBar|flexibleSpace|CustomScrollView|SliverList,Use with CustomScrollView; pinned=true for sticky,Header title announced,https://api.flutter.dev/flutter/material/SliverAppBar-class.html
Flutter Adaptive Scaffold,Flutter,Layout,adaptive scaffold responsive breakpoint material,Responsive scaffold for all screen sizes,AdaptiveScaffold|Breakpoints|NavigationRail|BottomNavigationBar,material3 adaptive scaffold; auto-switches navigation style,Content adapts properly,https://pub.dev/packages/flutter_adaptive_scaffold
Flutter Hero Animation,Flutter,Animation,hero animation transition shared element tag,Shared element animation between routes,Hero|tag|createRectTween|flightShuttleBuilder,Wrap both source and destination with same Hero tag,Transition announced,https://docs.flutter.dev/ui/animations/hero-animations
Flutter Material 3,Flutter,Theme,material3 usematerial3 color scheme seed dynamic,Material 3 theming,useMaterial3|ColorScheme.fromSeed|ThemeData,Use ColorScheme.fromSeed for consistent M3 theme,Contrast ratios met,https://docs.flutter.dev/ui/design/material
RN Bottom Sheet,React Native,Modal,bottom sheet modal gesture snap points react native,Gesture-enabled bottom sheet,@gorhom/bottom-sheet|BottomSheetModal|snapPoints,Use @gorhom/bottom-sheet for gesture handling and snap points,Sheet draggable announced,https://gorhom.github.io/react-native-bottom-sheet/
RN Animated Header,React Native,Navigation,animated header scroll collapse reanimated parallax,Collapsing header on scroll,Animated.ScrollView|useAnimatedScrollHandler|interpolate,Use Reanimated for smooth header collapse/expand on scroll,Header title accessible,https://docs.swmansion.com/react-native-reanimated/
RN Skeleton Loader,React Native,State,skeleton loader placeholder shimmer content loading rn,Content placeholder during loading,rn-placeholder|MotiSkeleton|Animated.View,Show skeleton matching content layout; animate shimmer,Loading state announced,
Chip Group,All,Input,chip filter choice action material selection tag,Selection chips for filtering,FilterChip|AssistChip|SuggestionChip|ChipGroup,Use FilterChip for multi-select; AssistChip for actions,Chip selection announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#FilterChip
Permission Request Dialog,All,Permission,permission request dialog rationale camera location context explain why,Contextual dialog explaining why permission is needed before system prompt,Before requesting sensitive permissions show custom UI explaining the benefit,Custom Dialog|Icon showing feature|Clear benefit text|Skip/Allow buttons,Show rationale before system dialog; explain benefit not technical name; handle denial gracefully,https://developer.android.com/training/permissions/requesting
Onboarding Carousel,All,Onboarding,onboarding carousel walkthrough introduction first launch feature tour,Multi-step intro showing key features on first launch,First app launch; major feature introduction after update; premium feature showcase,HorizontalPager|Page indicators|Skip button|Get Started CTA|Illustrations,Max 3-4 pages; allow skipping; show progress dots; animate transitions; only show once,
Empty State,All,State,empty state zero data placeholder illustration call to action onboarding,Informative placeholder when list or screen has no content,Empty lists; no search results; first-time experience; error recovery,Illustration|Title|Description|Primary CTA button|Optional secondary action,Show actionable CTA; use friendly illustrations; explain how to add content; different for first-time vs filtered-empty,https://material.io/design/communication/empty-states
Settings Screen,All,Navigation,settings preferences configuration account profile theme language notification,Organized app settings with categories and toggles,App settings; account management; preference configuration,Section headers|Toggle switches|Navigation rows|Destructive actions at bottom|Version info footer,Group logically; destructive actions (delete account log out) at bottom with confirmation; show current values,https://developer.android.com/develop/ui/compose/components/preferences
Error State with Retry,All,Feedback,error state retry network failure offline placeholder recoverable,User-friendly error display with action to retry,Network failures; server errors; timeout; parse errors; offline detection,Error illustration|Title|Description|Retry button|Optional offline indicator,Show friendly message not error code; offer retry; detect offline vs server error; suggest alternatives,
Skeleton Loading,All,Feedback,skeleton loading shimmer placeholder content shape pulse animation,Placeholder UI mimicking content layout while loading,List loading; profile loading; feed refresh; initial data fetch,Shimmer rectangles|Content-shaped placeholders|Pulse animation|Match actual layout structure,Match real content shape; use subtle shimmer animation; avoid spinner for content areas; show 3-5 placeholder items,https://developer.android.com/develop/ui/compose/animation/quick-guide
Floating Action Button Menu,Android,Interaction,fab floating action button expanded menu speed dial compose material3,Expandable FAB with multiple related actions,Create/add actions; quick actions that share context; 2-4 related actions,ExtendedFAB|SmallFAB items|Labels|Scrim overlay|Smooth expand animation,Max 4-6 actions; most common action as main FAB; collapse on selection; animate expansion,https://developer.android.com/develop/ui/compose/components/fab
Adaptive Navigation,All,Navigation,adaptive navigation rail drawer bottom bar responsive tablet phone foldable,Navigation that adapts between bottom bar rail and drawer based on screen size,Phone shows bottom bar; tablet shows nav rail; desktop shows full nav drawer,NavigationSuiteScaffold|BottomNavigation|NavigationRail|NavigationDrawer|Window size class,Use NavigationSuiteScaffold (Compose); test all breakpoints; maintain state across configuration changes,https://developer.android.com/develop/ui/compose/layouts/adaptive
