ID,Name,Platform,Category,Keywords,Description,Code,Imports,Notes,Reference URL
compose_pullrefresh,Pull to Refresh,Android,Compose,"pulltorefresh swipe refresh loading indicator","Pull-to-refresh with Material3","@OptIn(ExperimentalMaterial3Api::class)\n@Composable\nfun RefreshableList(\n    items: List<Item>,\n    isRefreshing: Boolean,\n    onRefresh: () -> Unit,\n    modifier: Modifier = Modifier\n) {\n    val pullRefreshState = rememberPullToRefreshState()\n\n    PullToRefreshBox(\n        isRefreshing = isRefreshing,\n        onRefresh = onRefresh,\n        state = pullRefreshState,\n        modifier = modifier\n    ) {\n        LazyColumn(\n            contentPadding = PaddingValues(16.dp),\n            verticalArrangement = Arrangement.spacedBy(8.dp)\n        ) {\n            items(items, key = { it.id }) { item ->\n                ItemCard(item = item)\n            }\n        }\n    }\n}","import androidx.compose.material3.ExperimentalMaterial3Api\nimport androidx.compose.material3.pulltorefresh.*","Use Material3 PullToRefreshBox. Pass isRefreshing from ViewModel.",https://developer.android.com/reference/kotlin/androidx/compose/material3/pulltorefresh/package-summary
compose_bottomsheet,Modal Bottom Sheet,Android,Compose,"bottomsheet modal sheet compose material3","Material3 Modal Bottom Sheet","@OptIn(ExperimentalMaterial3Api::class)\n@Composable\nfun FilterBottomSheet(\n    onDismiss: () -> Unit,\n    onApply: (Filter) -> Unit\n) {\n    val sheetState = rememberModalBottomSheetState()\n\n    ModalBottomSheet(\n        onDismissRequest = onDismiss,\n        sheetState = sheetState\n    ) {\n        Column(\n            modifier = Modifier\n                .padding(horizontal = 16.dp)\n                .padding(bottom = 32.dp),\n            verticalArrangement = Arrangement.spacedBy(16.dp)\n        ) {\n            Text(\n                text = ""Filters"",\n                style = MaterialTheme.typography.headlineSmall\n            )\n            // Filter options here\n            Button(\n                onClick = { onApply(filter) },\n                modifier = Modifier.fillMaxWidth()\n            ) {\n                Text(""Apply"")\n            }\n        }\n    }\n}","import androidx.compose.material3.*","Add bottom padding for system navigation bar.",https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#ModalBottomSheet
compose_searchbar,Search Bar,Android,Compose,"searchbar search query compose material3 dockedsearchbar","Material3 SearchBar with suggestions","@OptIn(ExperimentalMaterial3Api::class)\n@Composable\nfun SearchTopBar(\n    query: String,\n    onQueryChange: (String) -> Unit,\n    onSearch: (String) -> Unit,\n    suggestions: List<String>,\n    modifier: Modifier = Modifier\n) {\n    var expanded by rememberSaveable { mutableStateOf(false) }\n\n    SearchBar(\n        inputField = {\n            SearchBarDefaults.InputField(\n                query = query,\n                onQueryChange = onQueryChange,\n                onSearch = {\n                    onSearch(it)\n                    expanded = false\n                },\n                expanded = expanded,\n                onExpandedChange = { expanded = it },\n                placeholder = { Text(""Search..."") },\n                leadingIcon = { Icon(Icons.Default.Search, ""Search"") },\n                trailingIcon = if (query.isNotEmpty()) {\n                    { IconButton(onClick = { onQueryChange("""") }) { Icon(Icons.Default.Clear, ""Clear"") } }\n                } else null\n            )\n        },\n        expanded = expanded,\n        onExpandedChange = { expanded = it },\n        modifier = modifier\n    ) {\n        suggestions.forEach { suggestion ->\n            ListItem(\n                headlineContent = { Text(suggestion) },\n                modifier = Modifier.clickable { onSearch(suggestion); expanded = false }\n            )\n        }\n    }\n}","import androidx.compose.material3.*\nimport androidx.compose.material.icons.Icons\nimport androidx.compose.material.icons.filled.*","Debounce onQueryChange in ViewModel (300ms).",https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#SearchBar
navigation_setup,Navigation Compose Setup,Android,Navigation,"navigation compose navhost route typesafe","Type-safe Navigation Compose setup with routes","@Serializable data object HomeRoute\n@Serializable data class DetailRoute(val id: String)\n@Serializable data object SettingsRoute\n\n@Composable\nfun AppNavHost(\n    navController: NavHostController = rememberNavController()\n) {\n    NavHost(\n        navController = navController,\n        startDestination = HomeRoute\n    ) {\n        composable<HomeRoute> {\n            HomeScreen(\n                onItemClick = { id -> navController.navigate(DetailRoute(id)) }\n            )\n        }\n        composable<DetailRoute> { backStackEntry ->\n            val route = backStackEntry.toRoute<DetailRoute>()\n            DetailScreen(\n                itemId = route.id,\n                onBack = { navController.popBackStack() }\n            )\n        }\n        composable<SettingsRoute> {\n            SettingsScreen(onBack = { navController.popBackStack() })\n        }\n    }\n}","import androidx.navigation.compose.*\nimport androidx.navigation.toRoute\nimport kotlinx.serialization.Serializable","Use @Serializable data objects for type-safe routes (Navigation 2.8+).",https://developer.android.com/guide/navigation/design/type-safety
navigation_bottombar,Bottom Navigation with NavHost,Android,Navigation,"bottom navigation bar navhost compose scaffold","Bottom navigation with NavHost and selected state","@Serializable data object HomeRoute\n@Serializable data object SearchRoute\n@Serializable data object ProfileRoute\n\ndata class TopLevelRoute(\n    val label: String,\n    val route: Any,\n    val icon: ImageVector,\n    val selectedIcon: ImageVector\n)\n\nval topLevelRoutes = listOf(\n    TopLevelRoute(""Home"", HomeRoute, Icons.Outlined.Home, Icons.Filled.Home),\n    TopLevelRoute(""Search"", SearchRoute, Icons.Outlined.Search, Icons.Filled.Search),\n    TopLevelRoute(""Profile"", ProfileRoute, Icons.Outlined.Person, Icons.Filled.Person)\n)\n\n@Composable\nfun MainScreen() {\n    val navController = rememberNavController()\n    val navBackStackEntry by navController.currentBackStackEntryAsState()\n\n    Scaffold(\n        bottomBar = {\n            NavigationBar {\n                topLevelRoutes.forEach { topRoute ->\n                    val selected = navBackStackEntry?.destination?.hasRoute(topRoute.route::class) == true\n                    NavigationBarItem(\n                        selected = selected,\n                        onClick = {\n                            navController.navigate(topRoute.route) {\n                                popUpTo(navController.graph.findStartDestination().id) { saveState = true }\n                                launchSingleTop = true\n                                restoreState = true\n                            }\n                        },\n                        icon = { Icon(if (selected) topRoute.selectedIcon else topRoute.icon, topRoute.label) },\n                        label = { Text(topRoute.label) }\n                    )\n                }\n            }\n        }\n    ) { padding ->\n        NavHost(navController, startDestination = HomeRoute, Modifier.padding(padding)) {\n            composable<HomeRoute> { HomeScreen() }\n            composable<SearchRoute> { SearchScreen() }\n            composable<ProfileRoute> { ProfileScreen() }\n        }\n    }\n}","import androidx.navigation.compose.*\nimport kotlinx.serialization.Serializable","Save/restore tab state with popUpTo + saveState + restoreState.",https://developer.android.com/develop/ui/compose/components/bottom-navigation
retrofit_api,Retrofit API Interface,Android,Network,"retrofit api interface suspend get post","Retrofit API interface with suspend functions","interface ItemApi {\n    @GET(""items"")\n    suspend fun getItems(\n        @Query(""page"") page: Int = 1,\n        @Query(""limit"") limit: Int = 20\n    ): ItemsResponse\n\n    @GET(""items/{id}"")\n    suspend fun getItem(@Path(""id"") id: String): ItemDto\n\n    @POST(""items"")\n    suspend fun createItem(@Body item: CreateItemRequest): ItemDto\n\n    @PUT(""items/{id}"")\n    suspend fun updateItem(\n        @Path(""id"") id: String,\n        @Body item: UpdateItemRequest\n    ): ItemDto\n\n    @DELETE(""items/{id}"")\n    suspend fun deleteItem(@Path(""id"") id: String)\n\n    @Multipart\n    @POST(""items/{id}/image"")\n    suspend fun uploadImage(\n        @Path(""id"") id: String,\n        @Part image: MultipartBody.Part\n    ): ImageResponse\n}","import retrofit2.http.*\nimport okhttp3.MultipartBody","All functions should be suspend. Use @Query for pagination.",https://square.github.io/retrofit/
retrofit_auth,Auth Interceptor,Android,Network,"interceptor auth token refresh okhttp header","OkHttp interceptor for auth token injection and refresh","class AuthInterceptor @Inject constructor(\n    private val tokenManager: TokenManager\n) : Interceptor {\n    override fun intercept(chain: Interceptor.Chain): Response {\n        val token = tokenManager.getAccessToken()\n        val request = chain.request().newBuilder()\n            .apply { token?.let { header(""Authorization"", ""Bearer $it"") } }\n            .build()\n        return chain.proceed(request)\n    }\n}\n\nclass TokenRefreshAuthenticator @Inject constructor(\n    private val tokenManager: TokenManager,\n    private val authApi: Lazy<AuthApi>\n) : Authenticator {\n    override fun authenticate(route: Route?, response: Response): Request? {\n        if (response.code != 401) return null\n        synchronized(this) {\n            val newToken = runBlocking {\n                tokenManager.refreshToken(authApi.get())\n            } ?: return null\n            return response.request.newBuilder()\n                .header(""Authorization"", ""Bearer $newToken"")\n                .build()\n        }\n    }\n}","import okhttp3.Interceptor\nimport okhttp3.Response\nimport okhttp3.Authenticator","Use Authenticator for 401 refresh. Lazy inject AuthApi to avoid circular deps.",https://square.github.io/okhttp/features/interceptors/
paging_setup,Paging3 Setup,Android,List,"paging3 pagingsource remote mediator lazycolumn","Complete Paging3 setup with PagingSource and LazyColumn","class ItemPagingSource(\n    private val api: ItemApi\n) : PagingSource<Int, Item>() {\n    override fun getRefreshKey(state: PagingState<Int, Item>) =\n        state.anchorPosition?.let { state.closestPageToPosition(it)?.prevKey?.plus(1) }\n\n    override suspend fun load(params: LoadParams<Int>): LoadResult<Int, Item> {\n        val page = params.key ?: 1\n        return try {\n            val response = api.getItems(page = page, limit = params.loadSize)\n            LoadResult.Page(\n                data = response.items.map { it.toDomain() },\n                prevKey = if (page == 1) null else page - 1,\n                nextKey = if (response.items.isEmpty()) null else page + 1\n            )\n        } catch (e: Exception) {\n            LoadResult.Error(e)\n        }\n    }\n}\n\n// In ViewModel:\nval items = Pager(\n    config = PagingConfig(pageSize = 20, prefetchDistance = 5)\n) { ItemPagingSource(api) }.flow.cachedIn(viewModelScope)\n\n// In Composable:\nval lazyPagingItems = viewModel.items.collectAsLazyPagingItems()\nLazyColumn {\n    items(lazyPagingItems.itemCount, key = lazyPagingItems.itemKey { it.id }) { index ->\n        lazyPagingItems[index]?.let { ItemCard(it) }\n    }\n}","import androidx.paging.*\nimport androidx.paging.compose.collectAsLazyPagingItems\nimport androidx.paging.compose.itemKey","Use cachedIn(viewModelScope). Always provide key for LazyColumn.",https://developer.android.com/topic/libraries/architecture/paging/v3-overview
datastore_prefs,DataStore Preferences,Android,Storage,"datastore preferences migration sharedpreferences","DataStore Preferences setup with type-safe keys","class UserPreferences @Inject constructor(\n    @ApplicationContext private val context: Context\n) {\n    private val Context.dataStore by preferencesDataStore(\n        name = ""user_preferences""\n    )\n\n    private object Keys {\n        val DARK_MODE = booleanPreferencesKey(""dark_mode"")\n        val LANGUAGE = stringPreferencesKey(""language"")\n        val ONBOARDING_DONE = booleanPreferencesKey(""onboarding_done"")\n    }\n\n    val darkMode: Flow<Boolean> = context.dataStore.data\n        .map { it[Keys.DARK_MODE] ?: false }\n\n    val language: Flow<String> = context.dataStore.data\n        .map { it[Keys.LANGUAGE] ?: ""en"" }\n\n    suspend fun setDarkMode(enabled: Boolean) {\n        context.dataStore.edit { it[Keys.DARK_MODE] = enabled }\n    }\n\n    suspend fun setLanguage(lang: String) {\n        context.dataStore.edit { it[Keys.LANGUAGE] = lang }\n    }\n}","import androidx.datastore.preferences.core.*\nimport androidx.datastore.preferences.preferencesDataStore\nimport kotlinx.coroutines.flow.Flow\nimport kotlinx.coroutines.flow.map","Replace SharedPreferences with DataStore. Expose Flow for reactive reads.",https://developer.android.com/topic/libraries/architecture/datastore
compose_theme,Material3 Theme Setup,Android,Theme,"theme material3 dynamic color typography dark","Complete Material3 theme with dynamic colors","private val DarkColorScheme = darkColorScheme(\n    primary = Color(0xFF90CAF9),\n    secondary = Color(0xFFCE93D8),\n    tertiary = Color(0xFF80CBC4)\n)\n\nprivate val LightColorScheme = lightColorScheme(\n    primary = Color(0xFF1976D2),\n    secondary = Color(0xFF7B1FA2),\n    tertiary = Color(0xFF00897B)\n)\n\n@Composable\nfun AppTheme(\n    darkTheme: Boolean = isSystemInDarkTheme(),\n    dynamicColor: Boolean = true,\n    content: @Composable () -> Unit\n) {\n    val colorScheme = when {\n        dynamicColor && Build.VERSION.SDK_INT >= Build.VERSION_CODES.S -> {\n            val context = LocalContext.current\n            if (darkTheme) dynamicDarkColorScheme(context) else dynamicLightColorScheme(context)\n        }\n        darkTheme -> DarkColorScheme\n        else -> LightColorScheme\n    }\n\n    MaterialTheme(\n        colorScheme = colorScheme,\n        typography = AppTypography,\n        content = content\n    )\n}","import androidx.compose.material3.*\nimport androidx.compose.foundation.isSystemInDarkTheme","Use dynamic colors on Android 12+. Fallback to custom scheme.",https://developer.android.com/develop/ui/compose/designsystems/material3
compose_empty_error,Empty and Error States,Android,Compose,"empty state error retry illustration placeholder","Reusable empty and error state composables","@Composable\nfun EmptyState(\n    title: String,\n    description: String,\n    icon: ImageVector = Icons.Outlined.Inbox,\n    actionLabel: String? = null,\n    onAction: (() -> Unit)? = null,\n    modifier: Modifier = Modifier\n) {\n    Column(\n        modifier = modifier\n            .fillMaxSize()\n            .padding(32.dp),\n        horizontalAlignment = Alignment.CenterHorizontally,\n        verticalArrangement = Arrangement.Center\n    ) {\n        Icon(\n            imageVector = icon,\n            contentDescription = null,\n            modifier = Modifier.size(72.dp),\n            tint = MaterialTheme.colorScheme.onSurfaceVariant\n        )\n        Spacer(Modifier.height(16.dp))\n        Text(title, style = MaterialTheme.typography.titleLarge)\n        Spacer(Modifier.height(8.dp))\n        Text(\n            description,\n            style = MaterialTheme.typography.bodyMedium,\n            color = MaterialTheme.colorScheme.onSurfaceVariant,\n            textAlign = TextAlign.Center\n        )\n        if (actionLabel != null && onAction != null) {\n            Spacer(Modifier.height(24.dp))\n            Button(onClick = onAction) { Text(actionLabel) }\n        }\n    }\n}\n\n@Composable\nfun ErrorContent(\n    message: String,\n    onRetry: () -> Unit,\n    modifier: Modifier = Modifier\n) {\n    EmptyState(\n        title = ""Something went wrong"",\n        description = message,\n        icon = Icons.Outlined.ErrorOutline,\n        actionLabel = ""Retry"",\n        onAction = onRetry,\n        modifier = modifier\n    )\n}","import androidx.compose.material3.*\nimport androidx.compose.material.icons.Icons\nimport androidx.compose.material.icons.outlined.*","Always provide Empty and Error states. Never show blank screen.",
compose_shimmer,Shimmer Loading Skeleton,Android,Compose,"shimmer loading skeleton placeholder animation","Shimmer loading animation composable","fun Modifier.shimmerEffect(): Modifier = composed {\n    var size by remember { mutableStateOf(IntSize.Zero) }\n    val transition = rememberInfiniteTransition(label = ""shimmer"")\n    val startOffsetX by transition.animateFloat(\n        initialValue = -2 * size.width.toFloat(),\n        targetValue = 2 * size.width.toFloat(),\n        animationSpec = infiniteRepeatable(tween(1000)),\n        label = ""shimmer""\n    )\n\n    background(\n        brush = Brush.linearGradient(\n            colors = listOf(\n                MaterialTheme.colorScheme.surfaceVariant,\n                MaterialTheme.colorScheme.surface,\n                MaterialTheme.colorScheme.surfaceVariant\n            ),\n            start = Offset(startOffsetX, 0f),\n            end = Offset(startOffsetX + size.width.toFloat(), size.height.toFloat())\n        )\n    ).onGloballyPositioned { size = it.size }\n}\n\n@Composable\nfun ItemCardShimmer(modifier: Modifier = Modifier) {\n    Row(modifier = modifier.padding(16.dp), horizontalArrangement = Arrangement.spacedBy(12.dp)) {\n        Box(Modifier.size(64.dp).clip(RoundedCornerShape(8.dp)).shimmerEffect())\n        Column(Modifier.weight(1f), verticalArrangement = Arrangement.spacedBy(8.dp)) {\n            Box(Modifier.fillMaxWidth(0.7f).height(16.dp).clip(RoundedCornerShape(4.dp)).shimmerEffect())\n            Box(Modifier.fillMaxWidth(0.5f).height(14.dp).clip(RoundedCornerShape(4.dp)).shimmerEffect())\n        }\n    }\n}","import androidx.compose.animation.core.*\nimport androidx.compose.ui.geometry.Offset\nimport androidx.compose.ui.graphics.Brush\nimport androidx.compose.ui.unit.IntSize","Use shimmer over CircularProgressIndicator for content loading.",
