Category,Issue,Platform,Severity,Keywords,Description,Do,Dont,Code Good,Code Bad,Metric,Reference URL
Memory,Isolate Memory,Flutter,Medium,"isolate memory compute heavy background json",Heavy computation on main isolate,Use compute() or Isolate.spawn,JSON parsing on main isolate,final result = await compute(parseJson data),final result = jsonDecode(bigString),Main < 60ms work,https://dart.dev/language/concurrency
Memory,Bridge Overhead,React Native,High,"bridge overhead serialization js native turbo",Excessive JS-Native bridge calls,Batch bridge calls minimize serialization,Many small messages across bridge,Use Turbo Modules / JSI,Frequent bridge calls in scroll handler,< 10ms bridge,https://reactnative.dev/docs/the-new-architecture/landing-page
Network,Request Deduplication,All,Medium,"deduplicate request cache api concurrent",Making duplicate API requests,Cache and deduplicate identical requests,Fire same request from multiple components,Repository with in-flight request cache,Each screen independently calls same API,1 request per unique query,
Network,Image Size,All,High,"image size cdn resize thumbnail bandwidth",Loading oversized images from server,Request images sized for device density,Load 2000px image for 100dp view,CDN image resizing: url?w=200&q=80,Always load full-resolution,Match image to view,
Network,Gzip Compression,All,Medium,"gzip compression response size bandwidth brotli",Not using response compression,Enable gzip/brotli for API responses,Uncompressed JSON responses,Accept-Encoding: gzip on client,No compression header,60-80% smaller responses,
Network,Connection Pooling,All,Medium,"connection pool http reuse keep-alive client",Creating new HTTP connections per request,Reuse HTTP client instance with pool,New OkHttpClient per request,Single OkHttpClient instance via DI,val client = OkHttpClient() per call,Reuse connections,https://square.github.io/okhttp/features/connections/
Network,Prefetching Data,All,Medium,"prefetch preload data anticipate next screen",Not prefetching likely-needed data,Prefetch next screen data on behavior,Load data only on navigate,Prefetch detail when list item visible,Fetch on screen appear only,Faster perceived load,
Battery,Location Updates,All,High,"location gps battery drain frequency accuracy",High-frequency location updates,Use appropriate accuracy and distance filter,GPS updates every second,Significant location changes or 100m filter,requestLocationUpdates(0 0f) continuous,Minimize GPS time,https://developer.android.com/develop/sensors-and-location/location
Battery,Background Work,All,High,"background work battery schedule constraint optimization",Uncontrolled background work,Use WorkManager/BGTaskScheduler with constraints,Continuous background polling,WorkManager with network constraint,AlarmManager every 5 minutes,Respect battery optimization,https://developer.android.com/develop/background-work/background-tasks
Battery,Wake Locks,Android,Critical,"wakelock cpu screen battery drain timeout",Holding wake locks unnecessarily,Release wake locks ASAP use timeout,Hold wake lock entire operation,wakeLock.acquire(10*60*1000L) timeout,wakeLock.acquire() no timeout,Always set timeout,https://developer.android.com/training/scheduling/wakelock
Battery,Sensor Usage,All,Medium,"sensor accelerometer gyroscope battery active",Keeping sensors active when not needed,Unregister sensors when not in use,Keep accelerometer on in background,Unregister in onPause/viewDidDisappear,Never unregister listeners,Register only when visible,https://developer.android.com/develop/sensors-and-location/sensors/sensors_overview
List,Stable Keys,All,High,"key stable identifier list recomposition diff",Using index as key for list items,Use unique stable ID from data model,Use list index or random key,key = { item.id },key = { index } unstable on reorder,Correct diff calculation,https://developer.android.com/develop/ui/compose/lists#item-keys
List,Item Recycling,All,High,"recycle view lazy list virtualized flatlist",Not using virtualized lists,Use LazyColumn/List/ListView.builder/FlatList,Render all items in ScrollView,LazyColumn { items(data) { Item(it) } },Column { data.forEach { Item(it) } },O(visible) not O(total),https://developer.android.com/develop/ui/compose/lists
List,Avoid Nested Scroll,All,Medium,"nested scroll recyclerview scrollview conflict",Nested scrollable containers,Use single scrollable with item types,RecyclerView inside ScrollView,Single LazyColumn with item types,ScrollView containing LazyColumn,Single scroll context,https://developer.android.com/develop/ui/compose/lists
List,Preload Items,All,Medium,"preload prefetch list ahead buffer smooth",Not preloading items ahead,Configure prefetch distance,Only render visible with no buffer,prefetchItemCount = 10,No prefetch configuration,Seamless scrolling,
List,Diffing Algorithm,All,Medium,"diffutil diffing list update async diff",Not using efficient list diffing,Use DiffUtil/automatic diffing,Reload entire list on change,submitList(newList) DiffUtil handles,adapter.notifyDataSetChanged(),Update only changed items,https://developer.android.com/reference/androidx/recyclerview/widget/DiffUtil
Image,Lazy Image Loading,All,High,"lazy image load visible viewport demand",Loading all images regardless of visibility,Load images only when entering viewport,Load all images on screen creation,LazyColumn with AsyncImage per item,Load all images in onStart,Load on demand only,
Image,Image Placeholder,All,Medium,"placeholder image loading skeleton fade crossfade",No placeholder while image loads,Show placeholder with crossfade transition,Show empty space per image,AsyncImage with placeholder crossfade,Image(url) no placeholder,Smooth loading,
Image,Image Format,All,Medium,"webp avif format compression quality size",Using unoptimized image formats,Use WebP/AVIF for smaller files,Serve PNG for photos,Use WebP format from CDN,Original PNG/BMP format,30-50% smaller than JPEG,https://developer.android.com/topic/performance/reduce-apk-size#use-webp
Image,Image Downsampling,All,High,"downsample resize decode memory bitmap target",Decoding full-resolution images,Downsample to target view size,Decode full image then scale,inSampleSize matching view,BitmapFactory.decodeFile full res,Match decoded to view,https://developer.android.com/topic/performance/graphics/load-bitmap
Animation,Main Thread Animation,All,High,"animation main thread ui jank 60fps frame",Animation calculations blocking main thread,Use dedicated animation frameworks,Calculate animation on main thread,Platform animation APIs Reanimated,Manual frame in setTimeout,60fps animation,
Animation,Lottie Performance,All,Medium,"lottie animation json heavy complex size",Heavy Lottie animations impacting performance,Limit complexity use hardware acceleration,Lottie for every micro-interaction,Lottie for complex branded only,Lottie for simple fade/slide,< 5MB animation files,https://github.com/airbnb/lottie-android
Bundle,APK Size,Android,Medium,"apk size bundle abi split shrink minify",Large APK size affecting downloads,Enable minification ABI splits resource shrinking,Ship universal APK all ABIs,R8 fullMode per-ABI APK,Single universal no minification,< 15MB per ABI,https://developer.android.com/topic/performance/reduce-apk-size
Bundle,Deferred Components,Flutter,Medium,"deferred components split download size lazy",Large initial download size,Use deferred components for later features,Bundle everything in initial download,DeferredComponent for rare features,All features in single binary,Smaller initial install,https://docs.flutter.dev/perf/deferred-components
Bundle,Code Push,React Native,Medium,"codepush ota update bundle js over-the-air",Full app store release for minor fixes,Use CodePush for JS bundle OTA updates,Full release for text change,CodePush for JS-only changes,Full release for copy changes,Faster iteration,https://learn.microsoft.com/en-us/appcenter/distribution/codepush/
Bundle,ProGuard R8 Rules,Android,High,"proguard r8 rules shrink obfuscate keep",Missing or incorrect ProGuard rules,Configure proper keep rules test release,Skip ProGuard or keep everything,Specific keep rules for models,-keep class ** { *; },Smaller obfuscated APK,https://developer.android.com/build/shrink-code
Compose,Remember Calculations,Android,High,"compose remember expensive calculation recomposition cache",Expensive calculations running on every recomposition,Use remember to cache calculation results,Recalculate on every recomposition,"val sorted = remember(contacts, comparator) { contacts.sortedWith(comparator) }","items(contacts.sortedWith(comparator)) // sorts on every recomposition",< 16ms per frame,https://developer.android.com/develop/ui/compose/performance/bestpractices
Compose,Lazy Layout Keys,Android,High,"lazycolumn lazyrow keys stable recomposition item",Items recompose unnecessarily when list order changes,Provide stable unique keys for lazy layout items,Use index or no key for items,"items(notes, key = { it.id }) { NoteRow(it) }","items(notes) { NoteRow(it) } // no key causes full recomposition",Minimal recomposition,https://developer.android.com/develop/ui/compose/performance/bestpractices
Compose,DerivedStateOf Recomposition,Android,High,"derivedstateof state recomposition limit reduce",State changes too frequently causing excessive recomposition,Use derivedStateOf for computed state,Read state directly causing constant recomposition,"val showButton by remember { derivedStateOf { listState.firstVisibleItemIndex > 0 } }","val showButton = listState.firstVisibleItemIndex > 0 // recomposes on every scroll pixel",< 16ms per frame,https://developer.android.com/develop/ui/compose/performance/bestpractices
Compose,Defer State Reads,Android,Medium,"compose defer lambda state read scope recomposition",Reading state high in tree causes wide recomposition scope,Pass state as lambda to defer read to usage site,Read state immediately in parent scope,"Title(snack) { scroll.value } // lambda defers read","Title(snack, scroll.value) // parent recomposes on scroll",Narrow recomposition,https://developer.android.com/develop/ui/compose/performance/bestpractices
Compose,Backwards Writes,Android,Critical,"backwards write infinite loop recomposition state",Writing to state after reading causes infinite recomposition,Only write state in event handlers never after reading,Write to state after reading in composition,"Button(onClick = { count++ }) { Text() } // write in event","var count by remember { mutableStateOf(0) }; Text(\"$count\"); count++ // backwards write",No infinite loops,https://developer.android.com/develop/ui/compose/performance/bestpractices
Startup,Baseline Profiles,Android,High,"baseline profile startup optimization speed jit aot",Slow app startup and navigation without ahead-of-time compilation,Use Baseline Profiles to precompile critical code paths,Rely only on JIT compilation for all code,"generateBaselineProfile { } // in build.gradle","// No Baseline Profile - 30% slower first launch",< 1s cold start,https://developer.android.com/topic/performance/baselineprofiles/overview
Startup,Startup Profiles,Android,High,"startup profile dex layout optimization cold start",Suboptimal DEX layout causing slower app startup,Use startup profiles for compile-time DEX layout optimization,Default DEX layout without optimization,"android { experimentalProperties['android.experimental.art-profile-r8-rewriting'] = true }","// No startup profile - slower class loading",< 1s cold start,https://developer.android.com/topic/performance/baselineprofiles/dex-layout-optimizations
Startup,App Startup Library,Android,High,"app startup library initializer contentprovider dependency",Multiple ContentProviders slowing down app initialization,Use App Startup library with single shared ContentProvider,Create separate ContentProvider for each library,"class WorkManagerInitializer : Initializer<WorkManager> { override fun dependencies() = listOf<Class<out Initializer<*>>>() }","<provider android:name='WorkManagerProvider' /> <provider android:name='OtherProvider' /> // multiple providers",Faster startup,https://developer.android.com/topic/libraries/app-startup
Startup,Lazy Library Loading,Android,Medium,"lazy loading defer initialization on-demand workmanager",Libraries auto-initializing on startup increasing launch time,Defer non-critical library initialization until after first frame,Auto-initialize all libraries on app startup,"WorkManager.initialize(context, config) // called after first frame","// WorkManager auto-inits on startup via ContentProvider",First frame < 1s,https://developer.android.com/topic/performance/appstartup/best-practices
Startup,ViewStub Lazy Inflation,Android,Medium,"viewstub lazy inflate defer layout view hierarchy",Inflating entire view hierarchy on startup slowing first frame,Use ViewStub to defer inflating non-critical views,Inflate all views upfront in onCreate,"<ViewStub android:id='@+id/stub' android:layout='@layout/complex_view' />; stub.inflate() // when needed","<include layout='@layout/complex_view' /> // inflated immediately",Faster first frame,https://developer.android.com/topic/performance/appstartup/best-practices
Startup,Splash Screen Optimization,Android,Medium,"splash screen android 12 splashscreen api startup",Custom splash screen implementation causing delays,Use Android 12+ SplashScreen API with proper theming,Custom splash activity or manual splash implementation,"<style><item name='android:windowSplashScreenBackground'>@color/splash</item></style>","startActivity(Intent(this, SplashActivity::class.java)) // extra activity",< 1s cold start,https://developer.android.com/about/versions/12/features/splash-screen
Image,Image Format Optimization,Android,Medium,"webp vector drawable image size startup performance",Large PNG/JPG images increasing app size and startup time,Use vector drawables and WebP format for smaller file sizes,Use PNG or JPG for all images,"<vector android:width='24dp'>...</vector>; image.webp file","large_icon.png (500KB) instead of icon.webp (50KB)",< 15MB APK,https://developer.android.com/topic/performance/appstartup/best-practices
Startup,Cold Start Tracing,Android,High,"cold start trace profiling measure startup performance",Not measuring cold start performance accurately,Use system tracing to profile and optimize cold starts,Only measure warm/hot starts or no measurement,"adb shell am start -W -n com.app/.MainActivity; Trace.beginSection('coldStart')","// No tracing - can't identify startup bottlenecks",< 1s cold start,https://developer.android.com/topic/performance/vitals/launch-time
Security,Android Keystore,Android,Critical,"keystore hardware cryptographic keys secure storage","Storing cryptographic keys in code or SharedPreferences",Use Android Keystore for hardware-backed key storage,Store keys in app code or plain SharedPreferences,"KeyGenParameterSpec.Builder('myKey', PURPOSE_ENCRYPT | PURPOSE_DECRYPT).setUserAuthenticationRequired(true).build()","val key = 'hardcoded_key_123' // insecure hardcoded key",Keys protected,https://developer.android.com/privacy-and-security/keystore
Security,Biometric Authentication,Android,High,"biometric fingerprint face authentication strong weak","Using only PIN/password without biometric option",Implement BIOMETRIC_STRONG for sensitive operations,No biometric auth or using deprecated FingerprintManager,"BiometricPrompt(activity, executor, callback).authenticate(PromptInfo.Builder().setAllowedAuthenticators(BIOMETRIC_STRONG).build())","// Only password auth - no biometric option",Secure auth,https://developer.android.com/training/sign-in/biometric-auth
Security,Certificate Pinning,Android,Critical,"certificate pinning ssl mitm network security config","Trusting all SSL certificates vulnerable to MITM attacks",Pin certificates in network security config,Accept all certificates or no pinning,"<network-security-config><domain-config><domain includeSubdomains='true'>api.example.com</domain><pin-set><pin digest='SHA-256'>base64hash=</pin></pin-set></domain-config></network-security-config>","// TrustAllCerts - accepts any certificate including fake ones",Prevent MITM,https://developer.android.com/privacy-and-security/security-config
Security,Cleartext Traffic,Android,High,"cleartext http https network security insecure","Allowing HTTP connections exposing data in transit",Block cleartext traffic enforce HTTPS only,Allow HTTP traffic for production APIs,"<network-security-config><base-config cleartextTrafficPermitted='false' /></network-security-config>","android:usesCleartextTraffic='true' // allows HTTP traffic",All HTTPS,https://developer.android.com/privacy-and-security/risks/cleartext-communications
Security,Code Obfuscation,Android,Medium,"proguard r8 obfuscation reverse engineering decompile","Unobfuscated code easy to reverse engineer",Enable R8/ProGuard obfuscation shrinking,Ship release builds without obfuscation,"buildTypes { release { minifyEnabled true; shrinkResources true; proguardFiles getDefaultProguardFile('proguard-android-optimize.txt') } }","minifyEnabled false // code easily decompiled",Harder to reverse,https://developer.android.com/build/shrink-code
Security,Root Detection,Android,Medium,"root detection rooted device security bypass","App runs on rooted devices bypassing security",Detect and restrict functionality on rooted devices,No root detection allowing security bypass,"if (RootBeer(context).isRooted) { showSecurityWarning(); disableSensitiveFeatures() }","// No root check - sensitive features work on rooted devices",Limit exposure,https://developer.android.com/privacy-and-security/risks
Security,Play Integrity API,Android,High,"play integrity api app verification tamper detection","Not verifying app integrity allowing modified APKs",Use Play Integrity API to detect app tampering,No integrity checks allowing repackaged apps,"IntegrityManagerFactory.create(context).requestIntegrityToken(IntegrityTokenRequest.builder().setCloudProjectNumber(projectId).build())","// No integrity check - modified APKs can access backend",Genuine apps only,https://developer.android.com/google/play/integrity
Security,Encrypted SharedPreferences,Android,High,"encrypted sharedpreferences androidx security crypto","Storing sensitive data in plain SharedPreferences",Use EncryptedSharedPreferences for sensitive data,Store tokens passwords in plain SharedPreferences,"EncryptedSharedPreferences.create(context, 'secure_prefs', masterKey, AES256_SIV, AES256_GCM)","sharedPrefs.edit().putString('auth_token', token) // stored in plaintext",Data encrypted,https://developer.android.com/topic/security/data
Security,WebView JavaScript Safety,Android,High,"webview javascript setjavascriptenabled addjavascriptinterface","Enabling JavaScript without proper security controls",Disable JavaScript unless required; use @JavascriptInterface with trusted content only,"Enable JavaScript for all content or expose sensitive methods via addJavascriptInterface","webView.settings.javaScriptEnabled = false; // Or: class JsBridge { @JavascriptInterface fun secureMethod() { } }; webView.addJavascriptInterface(JsBridge(), 'bridge')","webView.settings.javaScriptEnabled = true; webView.addJavascriptInterface(SensitiveAPI(), 'api') // exposes all public methods",XSS prevented,https://developer.android.com/privacy-and-security/risks/webview-unsafe-file-inclusion
Security,Secure Logging,Android,Critical,"logging buildconfig debug r8 strip sensitive data","Logging sensitive data in production builds","Use BuildConfig.DEBUG conditional logging; strip logs with R8; never log PII tokens passwords","Log sensitive data unconditionally in production",if (BuildConfig.DEBUG) { Log.d(TAG 'Debug info') }; // R8 proguard-rules: -assumenosideeffects class android.util.Log { public static *** d(...); },"Log.d(TAG, 'User password: $password') // Always logged including production",No PII leaks,https://developer.android.com/privacy-and-security/risks/log-info-disclosure
Security,SQL Injection Prevention,Android,Critical,"sql injection room parameterized query rawQuery","Using string concatenation for SQL queries","Use Room with @Query or SQLite parameterized queries with ?","Concatenate user input directly into SQL strings","@Query('SELECT * FROM users WHERE id = :userId') fun getUser(userId: String); // Or: db.query('users', null, 'id = ?', arrayOf(userId), null)","db.rawQuery('SELECT * FROM users WHERE name = $userInput') // SQL injection vulnerable",Query safe,https://developer.android.com/training/data-storage/room/accessing-data
Security,Input Validation,Android,High,"input validation sanitize regex whitelist","Accepting untrusted input without validation","Validate and sanitize all inputs with regex whitelisting length checks","Trust all user input without validation","val email = input.takeIf { it.matches(Regex('[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\\.[a-zA-Z]{2,}')) } ?: throw IllegalArgumentException('Invalid email')","val userId = intent.getStringExtra('user_id'); deleteUser(userId) // No validation - injection risk",Inputs validated,https://developer.android.com/privacy-and-security/security-tips#input-validation
Security,Hardcoded Credentials,Android,Critical,"hardcoded credentials api key password secret buildconfig","API keys passwords secrets hardcoded in source code","Use Android Keystore BuildConfig secrets-gradle-plugin; never commit secrets to git","Hardcode API keys passwords in source code or BuildConfig","// secrets.properties (gitignored): API_KEY=xyz; // build.gradle.kts: secrets { propertiesFileName = 'secrets.properties' }; // Access: BuildConfig.API_KEY; // Or: KeyStore for runtime secrets","const val API_KEY = 'sk_live_1234567890abcdef'; // EXPOSED in decompiled APK; // Or: buildConfigField 'String' 'API_KEY' '\"secret\"' // Committed to git",Secrets leaked,https://developer.android.com/privacy-and-security/security-tips
Security,Third-Party SDK Risks,Android,High,"third party sdk supply chain dependency vulnerability","Untrusted or outdated third-party libraries introducing vulnerabilities","Vet all SDKs; use dependency scanning; keep libraries updated; read SDK privacy policies","Use outdated or unverified third-party libraries without security review","// build.gradle.kts: dependencies { implementation('com.trusted:library:2.1.0') // Latest verified version }; // Scan: ./gradlew dependencyCheckAnalyze; // Review SDK data collection in Data Safety section","dependencies { implementation('com.unknown:sdk:1.0.0') } // Outdated malicious unknown; // No dependency scanning or privacy review",Supply chain attack,https://developer.android.com/privacy-and-security/risks
Security,Insecure App Signing,Android,Critical,"app signing keystore jks release security","Weak keystore management or exposed signing keys","Use strong keystore passwords; store in CI environment variables; never commit keystores","Commit keystore to git; use weak passwords; share keystore files","// CI environment variables: KEYSTORE_PASSWORD KEYSTORE_KEY_PASSWORD; signingConfigs { release { storeFile = file(System.getenv('KEYSTORE_PATH')); storePassword = System.getenv('KEYSTORE_PASSWORD') } }",".gitignore without *.jks; // keystore.jks committed to repository; // password='android123' in gradle.properties also committed",Keys compromised,https://developer.android.com/studio/publish/app-signing
Security,Debug Code in Production,Android,High,"debug code production release leak deobfuscate logging","Debug features left enabled in production builds","Remove all debug code with BuildConfig.DEBUG checks; strip logs with R8; disable debugging","Ship production APK with debug features enabled or debuggable=true","if (BuildConfig.DEBUG) { enableDebugMenu(); Log.d(TAG 'Debug info') }; // AndroidManifest.xml: android:debuggable='false'; // R8 strips debug code in release","<application android:debuggable='true'> // NEVER in production; enableDebugMenu(); // Always enabled exposing admin features; Log.d() without BuildConfig check",App debuggable,https://developer.android.com/studio/debug
Security,Excessive Data Collection,Android,High,"excessive data collection privacy gdpr ccpa google play","Collecting unnecessary user data violating privacy policies","Collect only essential data; declare in Data Safety; follow GDPR/CCPA; minimize permissions","Collect all available data without user consent or disclosure","// Minimal collection: val essentialData = UserData(userId username); // Data Safety declaration in Play Console; requestPermissions(ESSENTIAL_PERMISSIONS)","// Collect everything: deviceId contacts location callLogs sms; // No Data Safety declaration; // No privacy policy; // Violates Play Store policies",Policy violation,https://developer.android.com/privacy-and-security/privacy-controls
