Category,Threat,Platform,Severity,Keywords,Description,Mitigation,Code Good,Code Bad,OWASP Ref,Reference URL
Cryptography,Weak Algorithm,All,High,"encryption algorithm aes md5 sha1 weak des",Using deprecated/weak crypto algorithms,Use AES-256-GCM for encryption SHA-256+ for hashing,AES/GCM/NoPadding with 256-bit key,DES or MD5 for sensitive data,M5 - Insufficient Cryptography,https://developer.android.com/privacy-and-security/cryptography
Cryptography,Hardcoded Crypto Key,All,Critical,"hardcoded key encryption secret constant embedded",Encryption keys embedded in code,Use Keystore/Keychain for key storage,Generate key in Keystore at runtime,val key = 'my-secret-key'.toByteArray(),M5 - Insufficient Cryptography,https://developer.android.com/privacy-and-security/keystore
Cryptography,Insecure Random,All,High,"random prng seed predictable token",Using predictable random number generator,Use SecureRandom/SystemRandomNumberGenerator,SecureRandom() or SystemRandomNumberGenerator(),Random() or Math.random() for tokens,M5 - Insufficient Cryptography,
Cryptography,No Key Rotation,All,Medium,"key rotation encryption periodic renew cycle",Never rotating encryption keys,Implement periodic key rotation strategy,Rotate keys every 90 days migrate data,Same encryption key used forever,M5 - Insufficient Cryptography,
Platform,Intent Hijacking,Android,High,"intent hijacking exported component broadcast receiver",Exported components accessible to malicious apps,Set exported=false or use permissions,<activity android:exported='false'>,<activity android:exported='true'> for internal,M1 - Improper Platform Usage,https://developer.android.com/privacy-and-security/security-tips#IPC
Platform,URL Scheme Hijacking,iOS,Medium,"url scheme deeplink hijacking universal links",Custom URL schemes can be hijacked,Use Universal Links instead of custom schemes,Associated Domains apple-app-site-association,Custom scheme myapp:// without validation,M1 - Improper Platform Usage,https://developer.apple.com/documentation/xcode/defining-a-custom-url-scheme-for-your-app
Platform,Screenshot Leakage,All,Medium,"screenshot task switcher sensitive screen blur",Sensitive screen visible in app switcher,Add blur/overlay when app enters background,FLAG_SECURE or applicationWillResignActive blur,No protection for sensitive screens,M2 - Insecure Data Storage,
Platform,Tapjacking,Android,Medium,"tapjacking overlay touch filtering attack",Overlay attacks tricking user into actions,Use filterTouchesWhenObscured,android:filterTouchesWhenObscured='true',No touch filtering on sensitive actions,M1 - Improper Platform Usage,https://developer.android.com/privacy-and-security/security-tips
Input,SQL Injection,All,High,"sql injection query parameterized prepared",Raw SQL queries with user input,Use parameterized queries/prepared statements,"db.query('SELECT * FROM users WHERE id = ?' [userId])","db.rawQuery('SELECT * WHERE id = $input')",M7 - Client Code Quality,https://developer.android.com/privacy-and-security/security-tips#ContentProviders
Input,Log Sensitive Data,All,High,"log sensitive password token pii production debug",Logging credentials/PII in production,Strip debug logs in release use log levels,Timber.plant(ReleaseTree()) no verbose in prod,"Log.d(TAG 'token=$token password=$pass')",M10 - Extraneous Functionality,
Input,No Input Sanitization,All,High,"input sanitization xss html injection escape",User input not sanitized before display,Sanitize and escape all user-generated content,Html.escapeHtml(userInput) or proper encoding,textView.text = Html.fromHtml(userInput),M7 - Client Code Quality,
Logging,Debug Endpoints,All,Medium,"debug endpoint test api production remove",Debug/test API endpoints in production code,Remove all debug endpoints and test configs,ifdef DEBUG only for debug endpoints,/api/debug/resetAllData in production,M10 - Extraneous Functionality,
Logging,Verbose Error Messages,All,Medium,"verbose error message stack trace user production",Showing stack traces or internal errors to users,Show user-friendly error messages log details internally,Show 'Something went wrong' log full error,Show stack trace or SQL error to user,M7 - Client Code Quality,
