Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
Testing,XCUITest E2E,Use XCUITest for end-to-end flows,Test critical journeys with accessibility IDs,No automated UI testing,"let app = XCUIApplication(); app.launch(); app.buttons['Login'].tap()","Manual testing before release",Medium,https://developer.apple.com/documentation/xctest/xcuiapplication
SwiftData,@Model Macro,Use @Model for persistence instead of CoreData entities,Annotate model classes with @Model for automatic persistence,Use NSManagedObject subclasses for new projects,@Model class Todo { var title: String; var isDone: Bool; init(title: String) { self.title = title; isDone = false } },class Todo: NSManagedObject { @NSManaged var title: String } // CoreData boilerplate,High,https://developer.apple.com/documentation/swiftdata/model()
SwiftData,ModelContainer Setup,Configure SwiftData container with schema and configuration,Create ModelContainer in App with explicit schema,Initialize container in every view,@main struct App { var body: some Scene { WindowGroup { ContentView() }.modelContainer(for: [Todo.self]) } },// Create container in each ViewController separately,Medium,https://developer.apple.com/documentation/swiftdata/modelcontainer
SwiftData,@Query Property Wrapper,Use @Query for reactive data fetching in SwiftUI,Use @Query with sort and filter predicates,Manually fetch and manage arrays of objects,@Query(sort: \Todo.createdAt order: .reverse) var todos: [Todo],@State var todos: [Todo] = []; func loadTodos() { todos = context.fetch() },High,https://developer.apple.com/documentation/swiftdata/query
Swift 6,Strict Concurrency,Enable Swift 6 strict concurrency checking,Mark types with @Sendable; use actors for shared state,Ignore concurrency warnings; use shared mutable state,actor UserManager { private var users: [User] = []; func add(_ user: User) { users.append(user) } },class UserManager { var users: [User] = [] } // data race potential,Critical,https://developer.apple.com/documentation/swift/sendable
Swift 6,@Observable Macro,Use @Observable instead of ObservableObject for iOS 17+,Use @Observable for granular observation tracking,Use ObservableObject with multiple @Published properties,@Observable class ViewModel { var name = ''; var age = 0 },class ViewModel: ObservableObject { @Published var name = ''; @Published var age = 0 },High,https://developer.apple.com/documentation/observation/observable()
Swift 6,Typed Throws,Use typed throws for explicit error handling,Specify error types in function signatures,Throw and catch untyped errors,func load() throws(NetworkError) { throw .timeout },func load() throws { throw NSError(domain: '' code: 0) },Medium,https://developer.apple.com/documentation/swift
TipKit,App Tips,Use TipKit for contextual user guidance,Show tips for discoverable features; respect frequency rules,Show alerts or custom tooltips for feature education,struct FavoriteTip: Tip { var title: Text { Text('Add Favorites') }; var message: Text? { Text('Tap heart to save') } },UIAlertController for feature hints // modal and interruptive,Medium,https://developer.apple.com/documentation/tipkit
WidgetKit,Widget Timeline,Create widgets with proper timeline management,Use TimelineProvider with appropriate refresh policy,Refresh widget too frequently or not enough,func getTimeline(in context: Context completion: @escaping (Timeline<Entry>) -> ()) { let entries = [Entry(date: .now)]; completion(Timeline(entries: entries policy: .atEnd)) },Timer.scheduledTimer { WidgetCenter.shared.reloadAllTimelines() } // too frequent,High,https://developer.apple.com/documentation/widgetkit
App Intents,App Shortcuts,Use App Intents for Siri and Shortcuts integration,Create AppIntent structs for actionable features,Use SiriKit intents for new shortcuts,struct OrderCoffee: AppIntent { static var title: LocalizedStringResource = 'Order Coffee'; func perform() async throws -> some IntentResult { .result() } },class OrderCoffeeHandler: INExtension // old SiriKit,Medium,https://developer.apple.com/documentation/appintents
Live Activities,Dynamic Island,Use Live Activities and Dynamic Island for real-time updates,Show ongoing activity state in Lock Screen and Dynamic Island,Use push notifications for real-time status,struct DeliveryActivity: Widget { var body: some WidgetConfiguration { ActivityConfiguration(for: DeliveryAttributes.self) { context in DeliveryView(state: context.state) } } },Send push notification every minute for delivery status,High,https://developer.apple.com/documentation/activitykit
Concurrency,AsyncSequence,Use AsyncSequence for asynchronous iteration,Use for-await-in for streaming data,Use completion handler chains for sequential async,for await notification in NotificationCenter.default.notifications(named: .didUpdate) { process(notification) },NotificationCenter.addObserver { result in completion(result) } // callback hell,Medium,https://developer.apple.com/documentation/swift/asyncsequence
Concurrency,TaskGroup Parallelism,Use TaskGroup for structured parallel work,Process independent tasks concurrently with TaskGroup,Await tasks sequentially when they could run in parallel,let results = await withTaskGroup(of: Data.self returning: [Data].self) { group in urls.forEach { url in group.addTask { await fetch(url) } }; return await group.reduce(into: []) { $0.append($1) } },var results: [Data] = []; for url in urls { results.append(await fetch(url)) } // sequential,High,https://developer.apple.com/documentation/swift/taskgroup
Privacy,Privacy Manifest,Declare API reasons in privacy manifest,Add PrivacyInfo.xcprivacy with required API declarations,Ship without privacy manifest; App Store rejection,// PrivacyInfo.xcprivacy: NSPrivacyAccessedAPITypes with NSPrivacyAccessedAPITypeReasons,// No privacy manifest; rejected by App Store review,Critical,https://developer.apple.com/documentation/bundleresources/privacy_manifest_files
Privacy,Tracking Transparency,Request tracking permission before IDFA access,Use ATTrackingManager.requestTrackingAuthorization before tracking,Access IDFA without permission; App Store rejection,ATTrackingManager.requestTrackingAuthorization { status in if status == .authorized { enableTracking() } },let idfa = ASIdentifierManager.shared().advertisingIdentifier // without permission,Critical,https://developer.apple.com/documentation/apptrackingtransparency
Architecture,Navigation Path,Use NavigationPath for type-safe programmatic navigation,Maintain NavigationPath in coordinator or router,Use NavigationLink with destination for all navigation,@State private var path = NavigationPath(); NavigationStack(path: $path) { ... }; path.append(DetailRoute(id: 1)),NavigationLink(destination: DetailView(id: 1)) { Text('Go') } // scattered navigation,High,https://developer.apple.com/documentation/swiftui/navigationpath
Architecture,Environment Values,Use @Environment for dependency injection in SwiftUI,Pass dependencies through SwiftUI Environment,Create singletons or pass dependencies through init chains,@Environment(\.modelContext) private var context; @Environment(\.dismiss) private var dismiss,static let shared = DatabaseManager() // singleton anti-pattern,Medium,https://developer.apple.com/documentation/swiftui/environment
Accessibility,Dynamic Type,Support Dynamic Type for text scaling,Use system fonts and dynamic type sizes,Hardcode font sizes; ignore accessibility settings,Text('Hello').font(.body) // scales with Dynamic Type,Text('Hello').font(.system(size: 16)) // fixed size; ignores user preference,High,https://developer.apple.com/documentation/swiftui/dynamictypesize
Accessibility,VoiceOver Labels,Add accessibility labels to all interactive elements,Use accessibilityLabel and accessibilityHint,Leave images and buttons without labels,Image(systemName: 'heart.fill').accessibilityLabel('Add to favorites'),Image(systemName: 'heart.fill') // VoiceOver says 'heart.fill image',High,https://developer.apple.com/documentation/accessibility
Performance,Lazy Navigation,Use lazy loading for navigation destinations,Use NavigationLink with lazy value-based navigation,Load all destination views eagerly,NavigationLink(value: item) { ItemRow(item) } // destination loaded on tap,NavigationLink(destination: HeavyView()) { Text('Go') } // HeavyView created immediately,Medium,https://developer.apple.com/documentation/swiftui/navigationlink
Performance,View Identity,Use stable IDs for List and ForEach performance,Use Identifiable protocol with stable IDs,Use array index or random UUID as identifier,ForEach(items) { item in ItemRow(item: item) } // items: Identifiable,ForEach(0..<items.count id: \.self) { i in ItemRow(item: items[i]) } // index-based,High,
UI,SF Symbols,Use SF Symbols for consistent iconography,Use system SF Symbols with rendering modes,Use custom PNG icons for common system actions,Image(systemName: 'star.fill').symbolRenderingMode(.hierarchical),UIImage(named: 'custom_star_icon') // custom asset for standard action,Low,https://developer.apple.com/sf-symbols/
UI,ViewModifier,Create custom ViewModifiers for reusable styling,Extract repeated styling into ViewModifier,Duplicate modifier chains across views,struct CardStyle: ViewModifier { func body(content: Content) -> some View { content.padding().background(.regularMaterial).cornerRadius(12) } },Text('A').padding().background(.regularMaterial).cornerRadius(12) // duplicated everywhere,Medium,https://developer.apple.com/documentation/swiftui/viewmodifier
Testing,Preview Macros,Use #Preview macro for SwiftUI previews,Use #Preview with different states and configurations,No previews or outdated preview code,#Preview('Dark Mode') { ContentView().preferredColorScheme(.dark) },struct ContentView_Previews: PreviewProvider { static var previews: some View { ContentView() } } // old API,Low,https://developer.apple.com/documentation/swiftui/preview()
Architecture,Transferable Protocol,Use Transferable for drag-and-drop and sharing,Implement Transferable for data sharing between apps,Use UIActivityItemProvider manually,struct Photo: Transferable { static var transferRepresentation: some TransferRepresentation { FileRepresentation(contentType: .png) { ... } } },// Manual UIActivityViewController setup with custom item provider,Medium,https://developer.apple.com/documentation/coretransferable/transferable
Concurrency,Actor Isolation,Use actor isolation for thread-safe shared state,Isolate shared mutable state in actors; use MainActor for UI,Use DispatchQueue.sync for thread safety,@MainActor class ViewModel { var items: [Item] = [] },DispatchQueue.main.async { self.items = newItems } // old pattern,High,https://developer.apple.com/documentation/swift/actor
